Species_ID,
Akodon_lutescens,'Akodon lutescens FMNH 74890.JPG'
Akodon_mimus,'Akodon mimus AMNH 264911.JPG'
Akodon_mimus,'Akodon mimus AMNH 264913.JPG'
Akodon_mimus,'Akodon mimus AMNH 264914.JPG'
Akodon_mimus,'Akodon mimus AMNH 264915.JPG'
Akodon_mimus,'Akodon mimus AMNH 264918.JPG'
Akodon_mimus,'Akodon mimus AMNH 264919.JPG'
Akodon_mimus,'Akodon mimus AMNH 264920.JPG'
Akodon_mimus,'Akodon mimus AMNH 2688.JPG'
Akodon_mimus,'Akodon mimus AMNH 268823.JPG'
Akodon_mimus,'Akodon mimus AMNH 268826.JPG'
Akodon_mimus,'Akodon mimus AMNH 268828.JPG'
Akodon_mimus,'Akodon mimus AMNH 268829.JPG'
Akodon_mimus,'Akodon mimus AMNH 268831.JPG'
Akodon_mimus,'Akodon mimus AMNH 268832.JPG'
Akodon_mimus,'Akodon mimus AMNH 2754.JPG'
Akodon_mollis,'Akodon mollis FMNH 129213.JPG'
Akodon_mollis,'Akodon mollis FMNH 129215.JPG'
Akodon_mollis,'Akodon mollis FMNH 129216.JPG'
Akodon_mollis,'Akodon mollis FMNH 129228.JPG'
Akodon_mollis,'Akodon mollis FMNH 19277.JPG'
Akodon_mollis,'Akodon mollis FMNH 19280.JPG'
Akodon_mollis,'Akodon mollis FMNH 19281.JPG'
Akodon_mollis,'Akodon mollis FMNH 19284.JPG'
Akodon_mollis,'Akodon mollis FMNH 19287.JPG'
Akodon_mollis,'Akodon mollis FMNH 20899.JPG'
Akodon_mollis,'Akodon mollis FMNH 20902.JPG'
Akodon_mollis,'Akodon mollis FMNH 20905.JPG'
Akodon_mollis,'Akodon mollis FMNH 20909.JPG'
Akodon_mollis,'Akodon mollis FMNH 23664.JPG'
Akodon_mollis,'Akodon mollis FMNH 23677.JPG'
Akodon_mollis,'Akodon mollis FMNH 23678.JPG'
Akodon_mollis,'Akodon mollis FMNH 23682.JPG'
Akodon_mollis,'Akodon mollis FMNH 23686.JPG'
Akodon_mollis,'Akodon mollis FMNH 24491.JPG'
Akodon_mollis,'Akodon mollis FMNH 81348.JPG'
Akodon_mollis,'Akodon mollis FMNH 81368.JPG'
Akodon_mollis,'Akodon mollis FMNH 81370.JPG'
Akodon_mollis,'Akodon mollis FMNH 81371.JPG'
Akodon_mollis,'Akodon mollis FMNH 81372.JPG'
Akodon_mollis,'Akodon mollis FMNH 81373.JPG'
