generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
7500000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.56493,-0.00541775,0.00893832,0
7500000,Castoria_angustidens,Deltamys_kempi,2.75009,0.971742,-0.00827324,0.30731,0
7505000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.922942,-0.104103,0.0594534,0
7510000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.738695,-0.0986222,0.010282,0
7510000,Castoria_angustidens,Deltamys_kempi,2.68574,0.971742,-0.0619392,0.138956,0
7515000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.899715,-0.0994845,0.224969,0
7520000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.684807,-0.0494434,0.0181942,0
7525000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.48638,-0.103328,0.301591,0
7530000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.12797,-0.14425,0.00478896,0
7535000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.19075,-0.153147,0.0974566,0
7540000,Oxymycterus_rufus,Bibimys_chacoensis,0,2.47267,-0.202797,0.481938,0
7540000,Bibimys_chacoensis,Kunsia_tomentosus,0.675644,2.49784,-0.206956,1.36277,0
7545000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.77006,-0.0947935,0.0474661,0
7550000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.423043,0.0552999,0.0652998,0
7555000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.382854,0.080106,0.0135335,0
7560000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.804604,-0.0518348,0.0911857,0
7565000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.0502,-0.0255152,0.270422,0
7570000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.749548,-0.0401213,0.119234,0
7575000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.267821,0.294788,0.0612917,0
7580000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.21069,-0.15107,0.0396951,0
7585000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.282244,0.396237,0.00323862,0
7585000,Necromys_lactens,NA,6.72596,1.71967,-0.0536125,2.89164,0
7585000,Juscelinomys_huanchacae,NA,6.25179,0.832027,-0.206022,1.50328,0
7585000,Akodon_azarae,NA,6.21035,1.56854,0.0301052,1.34138,0
7590000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.39005,0.155693,0.0652614,0
7595000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.11567,-0.155315,0.123612,0
7600000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.11717,-0.111422,0.017598,0
7605000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.628618,-0.0278612,0.135493,0
7610000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.722407,-0.0335237,0.177525,0
7615000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.191,-0.110641,0.150415,0
7620000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.963269,-0.0696821,0.0898135,0
7625000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.15183,-0.105045,0.265969,0
7630000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.715937,-0.115189,0.148051,0
7630000,Akodon_mimus,Akodon_aerosus,3.75465,0.87506,-0.0605457,0.0385286,0
7635000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.37021,-0.129301,0.228647,0
7640000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.791272,-0.0784882,0.0877238,0
7645000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.37232,-0.167458,0.0286901,0
7650000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.609144,0.0747646,0.420034,0
7655000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.82274,-0.124337,0.066086,0
7660000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.89291,-0.0982872,0.0812078,0
7665000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.404817,0.0387119,0.0347994,0
7670000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.596531,-0.0205484,0.0145747,0
7675000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.705103,-0.0351289,0.129616,0
7680000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.78324,-0.0402112,0.0869057,0
7685000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.854515,-0.0658471,0.0998421,0
7690000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.415982,0.118006,0.00139824,0
7695000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.27617,-0.11492,0.115978,0
7695000,Necromys_lactens,NA,6.58024,1.94183,0.148158,0.485741,0
7700000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.34517,-0.123702,0.291495,0
7705000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.311545,0.271916,0.0336,0
7710000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.450965,0.177033,0.0435594,0
7715000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.26567,-0.125084,0.0980155,0
7720000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.34068,-0.118775,0.464723,0
7725000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.51602,0.126368,0.144422,0
7725000,Akodon_mollis,NA,6.70352,0.0681073,-0.169324,0.024172,0
7730000,Oxymycterus_rufus,Bibimys_chacoensis,0,2.81573,-0.250407,0.675965,0
7735000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.35373,-0.10497,0.593805,0
7735000,Akodon_fumeus,Akodon_kofordi,6.34626,2.50146,0.160253,1.09409,0
7740000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.46624,-0.111303,0.315293,0
7745000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.06711,-0.072295,0.441481,0
7750000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.08536,-0.146885,0.0639662,0
7755000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.45737,0.0710893,0.0132498,0
7760000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.97356,-0.206535,0.349105,0
7765000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.461529,-0.0126726,0.00615047,0
7770000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.340593,0.101275,0.0429014,0
7775000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.21104,-0.14512,0.217978,0
7780000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.15892,-0.124073,0.215145,0
7785000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.39802,-0.0835279,0.605063,0
7790000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.540183,-0.0146433,0.0444133,0
7790000,Scapteromys_tumidus,Scapteromys_aquaticus,6.01885,3.22973,-0.119179,3.92187,0
7795000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.426469,0.144883,0.0286068,0
7795000,Thaptomys_nigrita,Castoria_angustidens,1.08973,2.01339,-0.250076,0.226658,0
7800000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.814444,-0.0651301,0.00379034,0
7800000,Kunsia_tomentosus,NA,3.23677,0.859088,-0.333989,0.352317,0
7805000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.20035,-0.0982164,0.260181,0
7810000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.34877,-0.0689157,0.576564,0
7815000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.408986,0.141973,0.0569844,0
7820000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.75101,-0.194858,0.132955,0
7825000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.613893,-0.0388117,0.0902254,0
7830000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.766953,-0.0707482,0.125097,0
7835000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.324572,0.283519,0.130833,0
7835000,Kunsia_tomentosus,NA,3.41353,1.95117,-0.220035,1.27652,0
7840000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.28775,-0.161619,0.0404594,0
7845000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.955946,-0.0600136,0.221821,0
7850000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.03953,-0.0921777,0.0588751,0
7855000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.714189,-0.0366553,0.12668,0
7860000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.941941,-0.0785249,0.167989,0
7865000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.37805,-0.100248,0.504552,0
7870000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.801259,0.000564649,0.349779,0
7875000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.793674,-0.0257285,0.334163,0
7880000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.14812,-0.127373,0.0446463,0
7885000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.55395,-0.0390463,0.0993084,0
7885000,Necromys_lenguarum,NA,6.65757,1.60458,0.0498099,3.68859,0
7885000,Oxymycterus_amazonicus,NA,6.4417,3.06753,0.167022,1.7851,0
7890000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.3275,-0.157839,0.245943,0
7895000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.818611,-0.0465046,0.154274,0
7900000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.575285,-0.0646158,0.039624,0
7905000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.367623,0.159261,0.0775145,0
7910000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.339386,0.151761,0.0126021,0
7915000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.08536,-0.109851,0.0225219,0
7920000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.432127,0.0344388,0.0352933,0
7925000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.87528,-0.0624666,0.0147107,0
7930000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.795026,-0.0551965,0.011168,0
7935000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.69487,-0.164623,0.393723,0
7940000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.13446,-0.0954359,0.242554,0
7945000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.643768,-0.0583183,0.0116718,0
7950000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.958695,-0.132857,0.0475556,0
7955000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.791573,-0.0382918,0.0601219,0
7960000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.12734,-0.120225,0.114773,0
7965000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.00288,-0.07811,0.227801,0
7970000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.694672,-0.0903834,0.0284458,0
7970000,Necromys_urichi,NA,5.41886,1.44557,0.128345,1.53645,0
7975000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.607112,0.00404194,0.109148,0
7980000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.82409,-0.195354,0.236105,0
7985000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.262,-0.168395,0.383542,0
7990000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.872158,-0.104707,0.0824872,0
7990000,Akodon_varius,NA,6.54727,0.63011,-0.0414039,2.76888,0
7995000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.521897,0.00692016,0.0616216,0
8000000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.32369,-0.099052,0.393454,0
8005000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.34472,-0.170596,0.246528,0
8005000,Deltamys_kempi,NA,5.81045,1.44459,0.0885003,1.73047,0
8010000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.651727,-0.0617618,0.032416,0
8015000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.27899,-0.148091,0.18303,0
8020000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.79581,-0.170163,0.703688,0
