"","RV","RL","RM","RS","DV","DL","DM","SZ","SP","EX"
"Akodon_mimus",-0.488464286127201,-0.351057636323402,-0.31504427613336,-0.0611169302361227,0.257480576527911,1.14000769492028,2.06583828976539,-0.45713187558332,0.24981880428174,1.37077030339964
"Akodon_mollis",-0.515652392619186,-0.380005785230573,-0.369078032795768,-1.67504747909254,-0.114089014023919,-0.357569527977286,-0.307382483889025,-0.561817048293816,0.86876992352218,-0.0718090335558892
"Akodon_montensis",-0.488464286127201,-0.351057636323402,-0.387089285016571,0.210294813715705,-0.813330272804915,-0.741910600368977,-0.250122966017394,0.180377129207167,1.17438399310202,0.3639157110811
"Akodon_mystax",-0.379711860159258,-0.351057636323402,-0.279021771691755,0.389620430255305,-0.629105536611533,-0.882928342109924,-0.586861722877664,-1.17988099631328,1.39207513947791,0.246129653874995
"Akodon_orophilus",-0.542840499111172,-0.380005785230573,-0.369078032795768,-1.64596764938341,-0.223534527304489,-0.514772150048005,-0.397371589786315,-0.384269301799628,0.855981553581837,0.110524081038501
"Akodon_paranaensis",-0.406899966651244,-0.351057636323402,-0.31504427613336,0.346000685691621,-0.863655098796995,-0.477182069718786,-0.50942529721487,-0.253457585420358,0.894301777095752,0.089106779187874
"Akodon_reigi",-0.488464286127201,-0.351057636323402,-0.405100537237373,0.108515409733768,-0.972005221870409,-1.24519473211084,-1.19505457726812,-0.435842351398271,0.898406764874001,0.677557451041321
"Akodon_siberiae",-0.488464286127201,-0.307635412962646,-0.369078032795768,-1.46179539455896,-0.452222387302833,-0.319442879922982,-0.151111378462807,-0.306571193138671,1.0150762334601,0.219143920064172
"Akodon_simulator",-0.325335647175287,-0.336583561869817,-0.351066780574965,-1.46664203284381,-0.319811093252295,-0.391416565839889,-0.260553433800655,0.0739387328218939,0.822853789090828,-0.232965365907386
"Akodon_spegazzinii",-0.298147540683301,-0.278687264055475,-0.387089285016571,-0.172589610787769,-0.93261055114169,-0.738551811358087,-0.51570782004895,-0.762998545692765,1.1411337927722,0.765224362351786
"Akodon_subfuscus",-0.597216712095144,-0.408953934137744,-0.423111789458176,-0.172589610787769,-0.415520705200861,-0.293108725394311,-0.674835230532451,-1.01845121556278,0.942710002291612,-0.12650380104256
"Akodon_sylvanus",-0.379711860159258,-0.119472445066036,-0.387089285016571,-0.124123227939226,-1.03340707183825,-1.27623962696974,-1.19152105046986,0.0516796368999429,1.07866689569288,0.117983833233943
"Akodon_toba",-0.515652392619186,-0.351057636323402,-0.387089285016571,-1.05952441691607,0.158509439688191,0.276080265102207,0.168515731435236,0.177202531231351,0.823122952148594,0.217410113782382
"Akodon_torques",-0.515652392619186,-0.365531710776988,-0.369078032795768,-1.60234790481973,0.0922801752147834,-0.364650673757858,-0.255161518214877,-0.454909956889425,0.900427224657208,0.0337262758476532
"Akodon_varius",-0.406899966651244,-0.336583561869817,-0.351066780574965,-1.47148867112867,-0.897997852018591,-0.517886973840983,-0.808634342277846,0.191811806235809,0.903920335282281,-0.245540854524883
"Bibimys_chacoensis",2.61097985395917,3.99116469975222,2.87294736694869,1.73213923515989,-0.782211378448412,-1.03647354395649,-1.19054918669742,-0.983723759483746,-0.557062972957973,2.98580311611461
"Bibimys_labiosus",2.58379174746718,3.68720913622693,2.85493611472789,1.73213923515989,0.21923475816938,1.15294369610868,0.170916706621182,-1.10749089003843,-0.536368979256179,2.49696157085929
"Blarinomys_breviceps",2.44785121500726,2.5292831799401,2.51272232253264,1.82422536257212,3.61681029419425,1.93649703736298,3.73685459462384,-1.40202684816382,-1.27661113195249,0.538816947902341
"Brucepattersonius_soricinus",2.33909878903931,2.427964658765,2.49471107031184,1.82422536257212,-0.790282757119902,-0.443306613672664,-0.633121866332865,-0.285015358141439,-1.58634798452887,-2.27919531658277
"Castoria_angustidens",-0.406899966651244,-0.351057636323402,-0.387089285016571,0.0697423034549344,-0.290966567946462,-0.401266250044494,-0.450549753658851,-0.0569421821236505,-0.902876791073105,0.877801022320912
"Deltamys_kempi",-0.461276179635215,-0.351057636323402,-0.387089285016571,0.0115826440366858,0.191313953851435,0.541981657755458,-0.211746722484,-1.05217119322124,-0.722336959680467,-0.693757553565426
"Juscelinomys_huanchacae",-0.243771327699329,-0.351057636323402,-0.387089285016571,0.612565791358594,-0.284523430394231,-0.333959421924968,-0.00702678532697689,1.10142757867826,-0.926017217306594,0.856477365643353
"Kunsia_tomentosus",2.66535606694314,1.66083871272497,2.51272232253264,2.01324425568143,2.38835552069386,2.30168984421466,1.77612888236749,3.90393995153431,-1.37364689147981,0.933069312765861
"Lenoxus_apicalis",2.3662868955313,2.34112021204349,2.44067731364943,1.795145532863,1.87762644250039,2.25012960796075,0.710228930070766,1.34573863681518,-0.802641175140371,1.67589001363139
"Necromys_amoenus",-0.270959434191315,-0.365531710776988,-0.405100537237373,-0.0659635685209775,0.0554474150539135,0.935007110687313,0.7972400981312,-0.217243643221402,-1.38110237051344,-1.31051197002253
"Necromys_lactens",-0.243771327699329,-0.365531710776988,-0.405100537237373,-0.177436249072624,-0.799572064661804,-0.960985418826572,-0.955209537715924,0.325358744273133,-1.17755137715856,-1.15702980229143
"Necromys_lasiurus",-0.352523753667272,-0.365531710776988,-0.405100537237373,-0.167742972502914,0.293461246548385,0.8609768091703,0.573941378336098,0.516949285032709,-0.673780160221326,-0.404387236045523
"Necromys_lenguarum",-0.352523753667272,-0.365531710776988,-0.405100537237373,-0.182282887357479,1.15756448279397,0.544360125443645,0.0293011926417767,0.271423544030636,-0.673780160221326,-0.404387236045523
"Necromys_obscurus",-0.325335647175287,-0.365531710776988,-0.405100537237373,-0.158049695933205,-0.835950498996861,-0.907822963157877,-0.917787734209955,0.488122605898621,-0.837048295660162,-1.19636897053852
"Necromys_urichi",-0.270959434191315,-0.365531710776988,-0.405100537237373,-0.177436249072624,-0.143205003273156,-0.364225236854073,-0.329677006546906,-0.0265686447776461,-1.25034772638326,-0.777661207518193
"Oxymycterus_amazonicus",-0.270959434191315,-0.380005785230573,-0.387089285016571,0.58348596164947,1.09149054038749,0.754888831898745,1.02119424454144,0.912067857691303,-0.461033253549432,-0.986194227389839
"Oxymycterus_dasytrichus",-0.298147540683301,-0.408953934137744,-0.405100537237373,0.59317923821918,0.561357889840895,1.49934991594682,1.34988276849242,1.51366757321389,-0.869786622693107,-1.36571075362112
"Oxymycterus_delator",-0.270959434191315,-0.394479859684159,-0.387089285016571,0.549559493655491,0.283680743436306,1.05347960882656,1.58443251135719,0.572562868447044,-0.4875538173799,-0.46821585817956
"Oxymycterus_hiska",0.299990802140385,-0.481324306405671,-0.423111789458176,0.675572089061698,-0.725897077458905,0.311771552010832,-0.715678266562392,0.251587660305498,-0.832476043898134,-1.02250151815982
"Oxymycterus_nasutus",-0.298147540683301,-0.408953934137744,-0.405100537237373,0.60771915307374,1.91939643533723,0.672998185267947,1.68065192951344,0.55922419018556,-0.97478200548814,-1.60055549390204
"Oxymycterus_paramensis",-0.243771327699329,-0.481324306405671,-0.423111789458176,0.646492259352573,1.65738334167834,2.30686223456397,1.26401129131897,0.959485197937075,-0.980656680762027,-1.1342795896003
"Oxymycterus_quaestor",-0.298147540683301,-0.437902083044915,-0.441123041678978,0.661032174207138,1.93413399563308,3.10926352207804,1.63852972958082,1.676750394703,-0.953287203714826,-1.59246755187733
"Oxymycterus_rufus",-0.298147540683301,-0.437902083044915,-0.441123041678978,0.656185535922283,-0.3021060120788,-0.268343474021539,1.20040468556001,0.981769831451222,-0.920742267492442,-1.05461943602246
"Podoxymys_roraimae",-0.189395114715358,-0.351057636323402,-0.387089285016571,-0.0465770153815627,-0.877576851972898,-0.86767095829879,-0.676022196442706,-0.678689133069093,-1.34848383874502,-1.06057207368161
"Scapteromys_aquaticus",2.39347500202328,0.806868319963431,2.11647477367499,1.88723166027522,-0.449123695485023,-0.598120162373822,-0.411515566648559,2.501987705181,-1.07040219510025,-0.260551835343591
"Scapteromys_tumidus",2.39347500202328,0.792394245509846,2.11647477367499,1.88238502199037,2.3639318555937,0.852455295242123,1.114200051177,2.29861531202936,-0.974052277177863,0.071757862183736
"Thalpomys_cerradensis",-0.189395114715358,-0.351057636323402,-0.405100537237373,-0.0126505473875837,-0.975335436974947,-1.25369156904849,-1.17690870178418,-0.172286747052864,-1.26871962989084,-1.13523541705483
"Thalpomys_lasiotis",-0.189395114715358,-0.351057636323402,-0.405100537237373,-0.0126505473875837,-0.956032526980913,0.722426397332749,1.10235648122728,-1.00511606551773,-1.29373457253711,-1.67106855648115
"Thaptomys_nigrita",-0.243771327699329,-0.351057636323402,-0.387089285016571,0.0552023886003743,0.29552680388149,0.322907412719719,0.758681508817323,-0.886025239622432,-1.20053441433212,0.392043327755324
