"","Taxon","RV","RL","RM","RS","DV","DL","DM","SZ","SP","EX"
"36","Deltamys_kempi",4.1e-05,5.7e-05,7.2e-05,0.004769,4.05477214493505e-05,6.39591250495341e-05,5.2686511528744e-05,3.87630121050325,0.585341269594519,0.0794813325970706
"37","Juscelinomys_huanchacae",4.9e-05,5.7e-05,7.2e-05,0.004893,2.5080240681637e-05,3.46176136944166e-05,6.24590016960127e-05,4.23076184679872,0.581509809735218,0.0902367551536618
"38","Kunsia_tomentosus",0.000156,0.000196,0.000233,0.005182,0.000111964342560099,0.000122904297199153,0.000147579539887111,4.69202711675999,0.573089380831525,0.0907681447808256
"39","Lenoxus_apicalis",0.000145,0.000243,0.000229,0.005137,9.53626789329488e-05,0.00012117717731334,9.66978478166298e-05,4.27097298280566,0.583830654959339,0.0959217833826897
"40","Necromys_amoenus",4.8e-05,5.6e-05,7.1e-05,0.004753,3.61312692213316e-05,7.71243493523576e-05,0.000100851404114671,4.01372186401362,0.572949134697795,0.0752023331496671
"41","Necromys_lactens",4.9e-05,5.6e-05,7.1e-05,0.00473,8.33816637488638e-06,1.36140429807854e-05,1.71966459471072e-05,4.10302874421634,0.576778162947512,0.0762671818047936
"42","Necromys_lasiurus",4.5e-05,5.6e-05,7.1e-05,0.004732,4.38681021877592e-05,7.46445467914631e-05,9.01920390627584e-05,4.13456261481097,0.586254678828149,0.0814889638287616
"43","Necromys_lenguarum",4.5e-05,5.6e-05,7.1e-05,0.004729,7.19564799202815e-05,6.4038796888542e-05,6.41931503696912e-05,4.09415155425592,0.586254678828149,0.0814889638287616
"44","Necromys_obscurus",4.6e-05,5.6e-05,7.1e-05,0.004734,7.15565581126384e-06,1.5394832617045e-05,1.8983009365747e-05,4.12981803417623,0.583183417457373,0.0759942493786951
"45","Necromys_urichi",4.8e-05,5.6e-05,7.1e-05,0.00473,2.96739109689851e-05,3.36037957870087e-05,4.70570034435398e-05,4.04510504557738,0.575408779909564,0.0788992148540613
"46","Oxymycterus_amazonicus",4.8e-05,5.5e-05,7.2e-05,0.004887,6.98086927407612e-05,7.10909041299151e-05,0.000111542056545042,4.19959514663824,0.590256692781804,0.0774524271976032
"47","Oxymycterus_dasytrichus",4.7e-05,5.3e-05,7.1e-05,0.004889,5.25763002298924e-05,9.60282131085156e-05,0.00012723229860457,4.29861239197741,0.582567571879852,0.0748193678101199
"48","Oxymycterus_delator",4.8e-05,5.4e-05,7.2e-05,0.00488,4.35501789879575e-05,8.1092837907193e-05,0.000138428741353198,4.14371604971302,0.589757810479971,0.0810461252668442
"49","Oxymycterus_hiska",6.9e-05,4.8e-05,7e-05,0.004906,1.07330316909626e-05,5.62477474369747e-05,2.86308864251405e-05,4.09088676786282,0.583269426770681,0.0772005297275633
"50","Oxymycterus_nasutus",4.7e-05,5.3e-05,7.1e-05,0.004892,9.6720446486029e-05,6.8347802574646e-05,0.000143021861744355,4.14152063780733,0.580592487994552,0.0731900312588549
"51","Oxymycterus_paramensis",4.9e-05,4.8e-05,7e-05,0.0049,8.82034980048108e-05,0.000123077557425997,0.000123133146475177,4.20739956258343,0.58048197859732,0.0764250212055925
"52","Oxymycterus_quaestor",4.7e-05,5.1e-05,6.9e-05,0.004903,9.71995028569371e-05,0.000149955696875222,0.000141011120678381,4.32545417951377,0.580996829932931,0.0732461448407457
"53","Oxymycterus_rufus",4.7e-05,5.1e-05,6.9e-05,0.004902,2.45087045790587e-05,3.68155595667436e-05,0.000120096827990593,4.2110673884933,0.581609037606924,0.076977697836751
"54","Podoxymys_roraimae",5.1e-05,5.7e-05,7.2e-05,0.004757,5.80255738855879e-06,1.67398095039989e-05,3.05239045683607e-05,3.93777259060146,0.573562726788637,0.076936398848735
"55","Scapteromys_aquaticus",0.000146,0.000137,0.000211,0.005156,1.97297753358164e-05,2.5768987291047e-05,4.31503662346616e-05,4.46127991733623,0.578793762273623,0.0824868838820239
"56","Scapteromys_tumidus",0.000146,0.000136,0.000211,0.005155,0.000111170431483077,7.43591005400125e-05,0.000115981772302417,4.42780687267161,0.580606215023188,0.0847924255597869
"57","Thalpomys_cerradensis",5.1e-05,5.7e-05,7.1e-05,0.004764,2.62483515936667e-06,3.8092273034768e-06,6.61363712522107e-06,4.02112131568015,0.575063183278606,0.0764183897408788
"58","Thalpomys_lasiotis",5.1e-05,5.7e-05,7.1e-05,0.004764,3.25229193132027e-06,7.00035057711346e-05,0.000115416408847903,3.88404600991732,0.574592623442572,0.0727008165118508
"59","Thaptomys_nigrita",4.9e-05,5.7e-05,7.2e-05,0.004778,4.39352448070283e-05,5.66207667998273e-05,9.90107752039431e-05,3.9036471586896,0.576345825589922,0.0870145439486019
