Species_ID;;Clade
Akodon_lutescens;'Akodon lutescens FMNH 21559.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 49696.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 50975.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 74884.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 74886.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 74887.JPG';Clade B
Akodon_lutescens;'Akodon lutescens FMNH 74890.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264911.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264913.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264914.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264915.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264918.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264919.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 264920.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 2688.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268823.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268826.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268828.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268829.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268831.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 268832.JPG';Clade B
Akodon_mimus;'Akodon mimus AMNH 2754.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 129213.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 129215.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 129216.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 129228.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19277.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19280.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19281.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19284.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 19287.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 20899.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 20902.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 20905.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 20909.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 23664.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 23677.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 23678.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 23682.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 23686.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 24491.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 81348.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 81368.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 81370.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 81371.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 81372.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 81373.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 81374.JPG';Clade B
Akodon_mollis;'Akodon mollis FMNH 81375.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 18185.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26817.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26838.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26845.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26846.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 26847.JPG';Clade B
Akodon_montensis;'Akodon montensis FMNH 47956.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69602.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69605.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69606.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69609.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69613.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69623.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69627.JPG';Clade B
Akodon_mystax;'Akodon mystax MN 69628.JPG';Clade B
