generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1440000,Scapteromys_tumidus,Scapteromys_aquaticus,5.9181,0.236392,-0.238883,1.21374,0
1460000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.5158,0.0241216,0.00451664,0
1480000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.484859,0.0393356,0.0342596,0
1500000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.28083,-0.144465,0.0989458,0
1520000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.2945,-0.120174,0.25122,0
1540000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.52072,-0.141311,0.270813,0
1560000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.707309,-0.0411426,0.0104188,0
1580000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.57647,-0.172191,0.0842192,0
1580000,Deltamys_kempi,NA,4.17529,2.23429,0.0111683,0.914254,0
1600000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.450526,0.103016,0.0260589,0
1620000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.760822,-0.0789306,0.0197851,0
1620000,Akodon_mimus,Akodon_aerosus,3.39138,1.03844,-0.199449,0.00278017,0
1640000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.689333,-0.0478093,0.101309,0
1640000,Akodon_cursor,NA,5.55948,0.712042,0.0797532,0.668572,0
1660000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.702181,-0.0316724,0.0106011,0
1680000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.452892,0.102923,0.0339535,0
1700000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.528852,0.0536333,0.0844311,0
1720000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.860668,-0.049265,0.0351358,0
1720000,Deltamys_kempi,NA,5.34758,3.63509,0.02857,1.64217,0
1740000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.335095,0.180276,0.114423,0
1760000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.883754,-0.0726755,0.00307673,0
1760000,Akodon_lindberghi,NA,6.51911,2.33388,0.281285,0.955899,0
1780000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.18585,-0.120829,0.168113,0
1800000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.992966,-0.0760663,0.0749706,0
1820000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.815405,-0.0588956,0.0173412,0
1840000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.740002,-0.0235382,0.0466427,0
1860000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.677309,-0.0085139,0.166865,0
1880000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.445165,0.0983369,0.170956,0
1900000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.692772,-0.0552109,0.0562617,0
1920000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.532154,0.0179535,0.0611801,0
1940000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.624738,0.0456247,0.152836,0
1960000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.799789,-0.0981112,0.002691,0
1980000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.579245,-0.014914,0.0165696,0
2000000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.761402,-0.0377675,0.145802,0
2000000,Oxymycterus_delator,NA,6.3639,0.773397,-0.278239,1.6447,0
2020000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.443767,0.0404045,0.0320075,0
2040000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.750994,-0.073449,0.0503964,0
2040000,Kunsia_tomentosus,Scapteromys_tumidus,2.50914,0.221541,-0.100348,0.190296,0
2060000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.623832,-0.0105607,0.120411,0
2060000,Castoria_angustidens,NA,6.18151,0.192496,-0.174448,1.16214,0
2080000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.17247,-0.128732,0.128362,0
2100000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.832315,-0.0290656,0.00112075,0
2100000,Oxymycterus_paramensis,NA,6.75128,2.43537,-0.246244,2.47945,0
2120000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.431533,0.106566,0.0184301,0
2120000,Akodon_mimus,NA,6.39768,0.0975863,0.0498831,0.522279,0
2140000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.667745,-0.00746278,0.0799086,0
2160000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.9912,-0.187757,0.187143,0
2160000,Juscelinomys_huanchacae,NA,5.36588,0.829475,0.0679841,0.296591,0
2160000,Lenoxus_apicalis,NA,3.82726,0.562153,-0.0903945,0.839115,0
2160000,Bibimys_chacoensis,Bibimys_labiosus,6.1677,0.792699,0.141575,4.82913,0
2180000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.52421,0.0114595,0.0895336,0
2200000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.34502,0.361611,0.0466323,0
2220000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.533226,0.0233732,0.0411056,0
2240000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.71489,-0.0274515,0.0220966,0
2240000,Akodon_spegazzinii,NA,6.53741,1.05408,0.222245,0.225671,0
2260000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.28883,-0.123628,0.0141439,0
2280000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.339777,0.350895,0.060484,0
2300000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.956556,-0.107193,0.0609032,0
2300000,Akodon_orophilus,NA,6.75685,3.09326,-0.0777748,0.979767,0
2300000,Akodon_varius,Akodon_simulator,5.38405,1.58391,0.191936,0.361335,0
2300000,Akodon_fumeus,Akodon_kofordi,5.68771,0.66802,0.0908914,1.65504,0
2300000,Necromys_lasiurus,Necromys_obscurus,4.59337,0.278044,-0.0142443,0.512794,0
2320000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.587866,0.0120695,0.0218385,0
2340000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.422364,0.113864,0.0451368,0
2360000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.474678,0.0339238,0.0218602,0
2380000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.570356,-0.0154438,0.0362705,0
2380000,Akodon_orophilus,Akodon_torques,5.68239,0.659231,-0.294377,0.0749838,0
2380000,Blarinomys_breviceps,NA,6.39585,0.179283,-0.127857,0.706941,0
2400000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.573498,0.0793977,0.111047,0
2400000,Thaptomys_nigrita,NA,4.67042,0.695924,-0.115357,1.2269,0
2420000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.346211,0.136664,0.105026,0
2420000,Akodon_aerosus,Akodon_cursor,3.98323,0.958845,0.161992,0.280032,0
2440000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.806772,-0.028674,0.0910559,0
2460000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.12852,0.0643254,1.20597,0
2460000,Thaptomys_nigrita,NA,5.43425,1.30871,0.0481026,3.50088,0
2460000,Thaptomys_nigrita,Castoria_angustidens,1.87889,2.16787,-0.425183,0.0575209,0
2480000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.464824,-0.0746208,0.13598,0
2480000,Akodon_mimus,Akodon_aerosus,3.78192,0.647523,0.140968,0.0104641,0
